st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
436;1982-02-01;-8.7;-8.8;-5.2;-10.4;-2.8;null;-1;280;-1;null;null;null;8.2;1;0;1;14;4.4;8;2.4;18;2.4;null;null;null;9;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-02;-9.1;-11.2;-4.6;-10.2;-3.0;null;-1;280;-1;null;null;null;8.5;0;1;2;26;2.4;0;0.0;22;2.4;null;null;null;9;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-03;-5.9;-7.2;-2.4;-7.0;-1.5;null;-1;270;-1;null;null;null;8.6;2;2;1;30;2.4;0;0.0;0;0.0;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-04;-4.9;-4.9;-2.1;-6.2;1.3;null;-1;260;-1;null;null;null;8.6;1;0;1;10;0.9;0;0.0;0;0.0;null;null;null;9;9;9;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-05;-3.2;-5.9;0.8;-3.8;1.6;null;-1;260;-1;null;null;null;8.7;0;0;0;0;0.0;0;0.0;32;0.9;null;null;null;8;9;9;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-06;-0.1;-1.2;1.8;-0.4;4.5;null;-1;260;-1;null;null;null;7.5;0;5;7;0;0.0;22;0.9;26;0.9;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-07;-1.9;-2.6;0.5;-2.8;3.0;null;-1;250;-1;null;null;null;7.4;2;3;2;0;0.0;0;0.0;0;0.0;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-08;-0.9;-2.6;1.4;-1.2;2.0;null;-1;250;-1;null;null;null;3.7;3;5;5;0;0.0;0;0.0;26;2.4;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-09;-5.3;-7.0;-4.0;-5.0;-0.5;null;-1;240;-1;null;null;null;8.5;2;2;0;24;0.9;12;0.9;26;0.9;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-10;-0.9;-3.2;2.4;-1.4;4.0;null;-1;240;-1;null;null;null;8.8;4;0;0;14;6.7;26;2.4;0;0.0;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-11;1.1;-0.2;4.8;-0.2;5.5;null;-1;240;-1;null;null;null;8.7;0;1;0;12;2.4;0;0.0;0;0.0;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-12;0.6;2.0;1.2;-0.4;4.0;null;-1;240;-1;null;null;null;8.7;1;0;0;22;2.4;30;2.4;6;0.9;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-13;-0.5;-1.8;4.0;-2.1;5.0;null;-1;240;-1;null;null;null;8.6;0;0;0;0;0.0;0;0.0;0;0.0;null;null;null;8;8;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-14;-4.9;-4.0;-1.1;-7.3;0.0;null;-1;240;-1;null;null;null;8.6;0;5;0;22;0.9;0;0.0;0;0.0;null;null;null;8;6;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-15;-6.7;-8.1;-6.2;-6.2;-5.0;null;-1;230;-1;null;null;null;0.0;9;10;10;20;4.4;12;0.9;12;2.4;null;null;null;5;5;0;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-16;-5.5;-6.8;-4.8;-5.2;-4.8;null;-1;230;-1;null;null;null;0.0;3;10;0;0;0.0;0;0.0;0;0.0;null;null;null;6;0;7;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-17;-3.9;-4.2;-2.9;-4.3;-2.0;null;-1;230;-1;null;null;null;0.0;10;9;10;0;0.0;0;0.0;0;0.0;null;null;null;0;0;0;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-18;-1.0;-1.0;1.2;-2.0;2.0;null;-1;230;-1;null;null;null;7.1;1;2;0;22;0.9;0;0.0;0;0.0;null;null;null;7;7;7;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
436;1982-02-19;-5.2;-4.9;-4.0;-6.0;-0.5;null;-1;230;-1;null;null;null;4.0;10;8;0;0;0.0;0;0.0;14;0.9;null;null;null;0;6;8;null;null;null;KANIN - ZG.POSTAJA ŽIČNICE;2222;46.3585226093639;13.4767657033619
